Test,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring,,,,
I-Ready,1,Language Arts,10/11/2023,10/25/2023,2,3,0,162,0,0,,,,
I-Ready,1,Math,9/29/2023,10/25/2023,160,166,0,163,0,0,,,,
I-Ready,2,Language Arts,10/24/2023,10/25/2023,168,209,0,159,0,0,,,,
I-Ready,2,Math,10/9/2023,10/25/2023,183,199,0,177,0,0,,,,
I-Ready,3,Language Arts,10/24/2023,10/25/2023,198,208,0,194,0,0,,,,
I-Ready,3,Math,10/9/2023,10/25/2023,204,214,0,197,0,0,,,,
I-Ready,4,Language Arts,10/24/2023,10/25/2023,208,215,0,210,0,0,,,,
I-Ready,4,Math,10/6/2023,10/25/2023,202,214,0,209,0,0,,,,
I-Ready,5,Language Arts,10/20/2023,10/25/2023,205,212,0,223,0,0,,,,
I-Ready,5,Math,9/28/2023,10/25/2023,209,210,0,224,0,0,,,,
I-Ready,6,Language Arts,10/23/2023,10/25/2023,7,18,0,21,0,0,,,,
I-Ready,6,Math,9/22/2023,10/25/2023,181,180,0,216,0,0,,,,
I-Ready,7,Language Arts,1/4/2023,2/21/2023,8,14,0,0,0,0,,,,
I-Ready,7,Math,9/18/2023,10/25/2023,209,208,0,179,0,0,,,,
I-Ready,8,Language Arts,10/20/2023,10/25/2023,9,10,0,6,0,0,,,,
I-Ready,8,Math,10/13/2023,10/25/2023,206,208,0,209,0,0,,,,
I-Ready,9,Language Arts,9/21/2023,10/25/2023,8,1,0,2,0,0,,,,
I-Ready,9,Math,10/5/2023,10/25/2023,1,1,0,3,0,0,,,,
I-Ready,10,Math,10/10/2023,10/25/2023,1,1,0,1,0,0,,,,
I-Ready,11,Language Arts,9/12/2022,10/3/2022,1,0,0,0,0,0,,,,
I-Ready,11,Math,9/8/2023,10/25/2023,1,1,0,1,0,0,,,,
I-Ready,12,Language Arts,10/10/2023,10/25/2023,4,1,0,2,0,0,,,,
I-Ready,12,Math,10/10/2023,10/25/2023,5,2,0,2,0,0,,,,
,,,,,,,,,,,,,,
Test,School,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring,,,
I-Ready,Lower Moreland High School,9,Language Arts,9/21/2023,10/25/2023,8,1,0,2,0,0,,,
I-Ready,Lower Moreland High School,9,Math,10/5/2023,10/25/2023,1,1,0,3,0,0,,,
I-Ready,Lower Moreland High School,10,Math,10/10/2023,10/25/2023,1,1,0,1,0,0,,,
I-Ready,Lower Moreland High School,11,Language Arts,9/12/2022,10/3/2022,1,0,0,0,0,0,,,
I-Ready,Lower Moreland High School,11,Math,9/8/2023,10/25/2023,1,1,0,1,0,0,,,
I-Ready,Lower Moreland High School,12,Language Arts,10/10/2023,10/25/2023,4,1,0,2,0,0,,,
I-Ready,Lower Moreland High School,12,Math,10/10/2023,10/25/2023,5,2,0,2,0,0,,,
I-Ready,Murray Avenue School,6,Language Arts,10/23/2023,10/25/2023,7,18,0,21,0,0,,,
I-Ready,Murray Avenue School,6,Math,9/22/2023,10/25/2023,181,180,0,216,0,0,,,
I-Ready,Murray Avenue School,7,Language Arts,1/4/2023,2/21/2023,8,14,0,0,0,0,,,
I-Ready,Murray Avenue School,7,Math,9/18/2023,10/25/2023,209,208,0,179,0,0,,,
I-Ready,Murray Avenue School,8,Language Arts,10/20/2023,10/25/2023,9,10,0,6,0,0,,,
I-Ready,Murray Avenue School,8,Math,10/13/2023,10/25/2023,206,208,0,209,0,0,,,
I-Ready,Pine Road Elementary School,1,Language Arts,10/11/2023,10/25/2023,2,3,0,162,0,0,,,
I-Ready,Pine Road Elementary School,1,Math,9/29/2023,10/25/2023,160,166,0,163,0,0,,,
I-Ready,Pine Road Elementary School,2,Language Arts,10/24/2023,10/25/2023,168,209,0,159,0,0,,,
I-Ready,Pine Road Elementary School,2,Math,10/9/2023,10/25/2023,183,199,0,177,0,0,,,
I-Ready,Pine Road Elementary School,3,Language Arts,10/24/2023,10/25/2023,198,208,0,194,0,0,,,
I-Ready,Pine Road Elementary School,3,Math,10/9/2023,10/25/2023,204,214,0,197,0,0,,,
I-Ready,Pine Road Elementary School,4,Language Arts,10/24/2023,10/25/2023,208,215,0,210,0,0,,,
I-Ready,Pine Road Elementary School,4,Math,10/6/2023,10/25/2023,202,214,0,209,0,0,,,
I-Ready,Pine Road Elementary School,5,Language Arts,10/20/2023,10/25/2023,205,212,0,223,0,0,,,
I-Ready,Pine Road Elementary School,5,Math,9/28/2023,10/25/2023,209,210,0,224,0,0,,,
,,,,,,,,,,,,,,
Test,Grade,Subject,20-21 Fall,20-21 Winter,20-21 Spring,21-22 Fall,21-22 Winter,21-22 Spring,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
I-Ready,K,Language Arts,1,0,0,0,0,0,0,0,0,0,0,0
I-Ready,K,Math,2,2,2,0,0,0,0,0,0,0,0,0
I-Ready,1,Language Arts,144,115,140,59,21,35,2,3,0,162,0,0
I-Ready,1,Math,155,137,143,171,169,175,160,166,0,163,0,0
I-Ready,2,Language Arts,172,181,196,185,196,190,168,209,0,159,0,0
I-Ready,2,Math,176,184,196,190,205,204,183,199,0,177,0,0
I-Ready,3,Language Arts,191,188,197,205,200,188,198,208,0,194,0,0
I-Ready,3,Math,191,191,197,205,208,207,204,214,0,197,0,0
I-Ready,4,Language Arts,155,155,148,198,204,182,208,215,0,210,0,0
I-Ready,4,Math,154,150,159,198,204,157,202,214,0,209,0,0
I-Ready,5,Language Arts,182,184,190,164,168,162,205,212,0,223,0,0
I-Ready,5,Math,187,185,192,164,165,165,209,210,0,224,0,0
I-Ready,6,Language Arts,17,22,27,4,16,17,7,18,0,21,0,0
I-Ready,6,Math,174,175,192,200,199,202,181,180,0,216,0,0
I-Ready,7,Language Arts,11,6,6,13,15,13,8,14,0,0,0,0
I-Ready,7,Math,34,32,33,196,198,196,209,208,0,179,0,0
I-Ready,8,Language Arts,12,8,6,4,3,3,9,10,0,6,0,0
I-Ready,8,Math,31,33,30,187,188,182,206,208,0,209,0,0
I-Ready,9,Language Arts,0,2,3,2,2,1,8,1,0,2,0,0
I-Ready,9,Math,0,0,4,2,2,0,1,1,0,3,0,0
I-Ready,10,Language Arts,0,0,1,0,0,1,0,0,0,0,0,0
I-Ready,10,Math,0,0,1,1,1,1,1,1,0,1,0,0
I-Ready,11,Language Arts,0,0,1,0,1,1,1,0,0,0,0,0
I-Ready,11,Math,0,0,6,1,1,1,1,1,0,1,0,0
I-Ready,12,Language Arts,0,0,2,3,1,1,4,1,0,2,0,0
I-Ready,12,Math,0,0,6,9,7,5,5,2,0,2,0,0
