Test,Grade,Subject,Latest Results,Latest Created Date,22-23 BOY,22-23 MOY,22-23 EOY,23-24 BOY,23-24 MOY,23-24 EOY
DIBELS Next/Acadience,K,Language Arts,2023-10-02,2023-10-16,327,336,337,308,0,0
DIBELS Next/Acadience,1,Language Arts,2023-09-26,2023-10-16,333,336,332,362,0,0
DIBELS Next/Acadience,2,Language Arts,2023-09-29,2023-10-16,48,100,92,81,0,0
DIBELS Next/Acadience,3,Language Arts,2023-01-15,2023-06-28,24,8,0,0,0,0
DIBELS Next/Acadience,4,Language Arts,2023-01-15,2023-06-28,2,9,0,0,0,0

Test,School,Grade,Subject,Latest Results,Latest Created Date,22-23 BOY,22-23 MOY,22-23 EOY,23-24 BOY,23-24 MOY,23-24 EOY
DIBELS Next/Acadience,Arrowhead Elementary School,K,Language Arts,2023-09-27,2023-10-16,79,80,81,84,0,0
DIBELS Next/Acadience,Arrowhead Elementary School,1,Language Arts,2023-09-15,2023-10-16,80,84,82,84,0,0
DIBELS Next/Acadience,Arrowhead Elementary School,2,Language Arts,2023-09-20,2023-10-16,14,28,28,9,0,0
DIBELS Next/Acadience,Arrowhead Elementary School,3,Language Arts,2022-11-29,2023-06-28,6,0,0,0,0,0
DIBELS Next/Acadience,Arrowhead Elementary School,4,Language Arts,2023-01-15,2023-06-28,0,5,0,0,0,0
DIBELS Next/Acadience,Eagleville Elementary School,K,Language Arts,2023-09-18,2023-10-16,80,86,84,67,0,0
DIBELS Next/Acadience,Eagleville Elementary School,1,Language Arts,2023-09-26,2023-10-16,89,89,90,83,0,0
DIBELS Next/Acadience,Eagleville Elementary School,2,Language Arts,2023-09-26,2023-10-16,0,23,20,33,0,0
DIBELS Next/Acadience,Eagleville Elementary School,3,Language Arts,2022-09-15,2023-06-28,11,0,0,0,0,0
DIBELS Next/Acadience,Eagleville Elementary School,4,Language Arts,2023-01-15,2023-06-28,0,4,0,0,0,0
DIBELS Next/Acadience,Woodland Elementary School,K,Language Arts,2023-10-02,2023-10-16,84,84,84,86,0,0
DIBELS Next/Acadience,Woodland Elementary School,1,Language Arts,2023-09-20,2023-10-16,84,83,82,96,0,0
DIBELS Next/Acadience,Woodland Elementary School,2,Language Arts,2023-09-29,2023-10-16,21,30,25,39,0,0
DIBELS Next/Acadience,Worcester Elementary School,K,Language Arts,2023-09-19,2023-09-29,84,86,88,71,0,0
DIBELS Next/Acadience,Worcester Elementary School,1,Language Arts,2023-09-26,2023-09-29,80,80,78,99,0,0
DIBELS Next/Acadience,Worcester Elementary School,2,Language Arts,2023-05-25,2023-06-28,13,19,19,0,0,0
DIBELS Next/Acadience,Worcester Elementary School,3,Language Arts,2023-01-15,2023-06-28,7,8,0,0,0,0
DIBELS Next/Acadience,Worcester Elementary School,4,Language Arts,2022-09-15,2023-06-28,2,0,0,0,0,0

Test,Grade,Subject,20-21 BOY,20-21 MOY,20-21 EOY,21-22 BOY,21-22 MOY,21-22 EOY,22-23 BOY,22-23 MOY,22-23 EOY,23-24 BOY,23-24 MOY,23-24 EOY
DIBELS Next/Acadience,K,Language Arts,273,0,0,271,273,115,327,336,337,308,0,0
DIBELS Next/Acadience,1,Language Arts,335,0,0,314,312,61,333,336,332,362,0,0
DIBELS Next/Acadience,2,Language Arts,0,0,0,36,3,1,48,100,92,81,0,0
DIBELS Next/Acadience,3,Language Arts,0,0,0,0,7,0,24,8,0,0,0,0
DIBELS Next/Acadience,4,Language Arts,0,0,0,0,9,0,2,9,0,0,0,0

