Test,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring,,,,
F&P,1,Language Arts,9/28/2023,9/28/2023,326,322,345,362,0,0,,,,
F&P,2,Language Arts,9/27/2023,9/27/2023,35,330,290,14,0,0,,,,
F&P,3,Language Arts,9/29/2023,9/29/2023,21,341,299,15,0,0,,,,
F&P,4,Language Arts,9/27/2023,9/27/2023,22,298,261,8,0,0,,,,
,,,,,,,,,,,,,,
Test,School,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring,,,
F&P,Arrowhead Elementary School,1,Language Arts,9/20/2023,9/20/2023,77,83,83,84,0,0,,,
F&P,Arrowhead Elementary School,2,Language Arts,5/23/2023,5/23/2023,9,89,89,0,0,0,,,
F&P,Arrowhead Elementary School,3,Language Arts,5/23/2023,5/23/2023,5,105,105,0,0,0,,,
F&P,Arrowhead Elementary School,4,Language Arts,5/23/2023,5/23/2023,6,48,74,0,0,0,,,
F&P,Eagleville Elementary School,1,Language Arts,9/26/2023,9/26/2023,88,88,90,83,0,0,,,
F&P,Eagleville Elementary School,2,Language Arts,9/26/2023,9/26/2023,4,86,87,2,0,0,,,
F&P,Eagleville Elementary School,3,Language Arts,9/26/2023,9/26/2023,4,69,70,3,0,0,,,
F&P,Eagleville Elementary School,4,Language Arts,9/26/2023,9/26/2023,0,75,75,2,0,0,,,
F&P,Woodland Elementary School,1,Language Arts,9/22/2023,9/22/2023,82,73,94,95,0,0,,,
F&P,Woodland Elementary School,2,Language Arts,9/27/2023,9/27/2023,14,71,81,9,0,0,,,
F&P,Woodland Elementary School,3,Language Arts,9/27/2023,9/27/2023,9,85,87,6,0,0,,,
F&P,Woodland Elementary School,4,Language Arts,9/27/2023,9/27/2023,10,85,86,3,0,0,,,
F&P,Worcester Elementary School,1,Language Arts,9/28/2023,9/28/2023,79,78,78,100,0,0,,,
F&P,Worcester Elementary School,2,Language Arts,9/26/2023,9/26/2023,8,84,33,3,0,0,,,
F&P,Worcester Elementary School,3,Language Arts,9/29/2023,9/29/2023,3,82,37,6,0,0,,,
F&P,Worcester Elementary School,4,Language Arts,9/26/2023,9/26/2023,6,90,26,3,0,0,,,
,,,,,,,,,,,,,,
Test,Grade,Subject,20-21 Fall,20-21 Winter,20-21 Spring,21-22 Fall,21-22 Winter,21-22 Spring,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
F&P,1,Language Arts,0,0,0,0,0,0,326,322,345,362,0,0
F&P,2,Language Arts,0,0,0,0,0,0,35,330,290,14,0,0
F&P,3,Language Arts,0,0,0,0,0,0,21,341,299,15,0,0
F&P,4,Language Arts,0,0,0,0,0,0,22,298,261,8,0,0
