Test,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
I-Ready,K,Math,2023-09-29,2023-10-05,43,0,0,316,0,0
I-Ready,1,Math,2023-09-28,2023-10-05,337,0,0,371,0,0
I-Ready,2,Math,2023-09-27,2023-10-05,330,0,0,360,0,0
I-Ready,3,Math,2023-09-27,2023-10-05,352,0,0,344,0,0
I-Ready,4,Math,2023-09-27,2023-10-05,325,0,0,362,0,0
I-Ready,5,Math,2023-09-29,2023-10-05,135,0,0,346,0,0
I-Ready,6,Math,2023-09-27,2023-10-05,123,0,0,366,0,0
I-Ready,7,Math,2023-09-29,2023-10-05,0,0,0,298,0,0
I-Ready,8,Math,2023-09-28,2023-10-05,6,0,0,178,0,0

Test,School,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
I-Ready,Arcola Intermediate School,7,Math,2023-09-29,2023-10-05,0,0,0,298,0,0
I-Ready,Arcola Intermediate School,8,Math,2023-09-28,2023-10-05,6,0,0,178,0,0
I-Ready,Arrowhead Elementary School,K,Math,2023-09-26,2023-10-05,21,0,0,89,0,0
I-Ready,Arrowhead Elementary School,1,Math,2023-09-21,2023-09-27,83,0,0,88,0,0
I-Ready,Arrowhead Elementary School,2,Math,2023-09-18,2023-09-27,89,0,0,92,0,0
I-Ready,Arrowhead Elementary School,3,Math,2023-09-26,2023-10-05,109,0,0,86,0,0
I-Ready,Arrowhead Elementary School,4,Math,2023-09-27,2023-10-05,72,0,0,111,0,0
I-Ready,Eagleville Elementary School,K,Math,2023-09-20,2023-09-27,0,0,0,67,0,0
I-Ready,Eagleville Elementary School,1,Math,2023-09-14,2023-09-27,94,0,0,84,0,0
I-Ready,Eagleville Elementary School,2,Math,2023-09-26,2023-10-05,87,0,0,97,0,0
I-Ready,Eagleville Elementary School,3,Math,2023-09-27,2023-10-05,74,0,0,86,0,0
I-Ready,Eagleville Elementary School,4,Math,2023-09-20,2023-09-27,78,0,0,79,0,0
I-Ready,Skyview Upper Elementary School,5,Math,2023-09-29,2023-10-05,135,0,0,346,0,0
I-Ready,Skyview Upper Elementary School,6,Math,2023-09-27,2023-10-05,123,0,0,366,0,0
I-Ready,Woodland Elementary School,K,Math,2023-09-29,2023-10-05,22,0,0,88,0,0
I-Ready,Woodland Elementary School,1,Math,2023-09-27,2023-10-05,82,0,0,98,0,0
I-Ready,Woodland Elementary School,2,Math,2023-09-22,2023-10-05,79,0,0,90,0,0
I-Ready,Woodland Elementary School,3,Math,2023-09-27,2023-10-05,88,0,0,84,0,0
I-Ready,Woodland Elementary School,4,Math,2023-09-22,2023-10-05,85,0,0,87,0,0
I-Ready,Worcester Elementary School,K,Math,2023-09-29,2023-10-05,0,0,0,72,0,0
I-Ready,Worcester Elementary School,1,Math,2023-09-28,2023-10-05,78,0,0,101,0,0
I-Ready,Worcester Elementary School,2,Math,2023-09-27,2023-10-05,75,0,0,81,0,0
I-Ready,Worcester Elementary School,3,Math,2023-09-22,2023-10-05,81,0,0,88,0,0
I-Ready,Worcester Elementary School,4,Math,2023-09-18,2023-10-05,90,0,0,85,0,0

Test,Grade,Subject,20-21 Fall,20-21 Winter,20-21 Spring,21-22 Fall,21-22 Winter,21-22 Spring,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
I-Ready,K,Math,0,0,0,0,0,0,43,0,0,316,0,0
I-Ready,1,Math,0,0,0,0,0,0,337,0,0,371,0,0
I-Ready,2,Math,0,0,0,0,0,0,330,0,0,360,0,0
I-Ready,3,Math,0,0,0,0,0,0,352,0,0,344,0,0
I-Ready,4,Math,0,0,0,0,0,0,325,0,0,362,0,0
I-Ready,5,Math,0,0,0,0,0,0,135,0,0,346,0,0
I-Ready,6,Math,0,0,0,0,0,0,123,0,0,366,0,0
I-Ready,7,Math,0,0,0,0,0,0,0,0,0,298,0,0
I-Ready,8,Math,0,0,0,0,0,0,6,0,0,178,0,0

