Test,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
STAR Benchmarks,2,Language Arts,2023-05-31,2023-06-02,335,343,332,0,0,0
STAR Benchmarks,3,Language Arts,2023-09-26,2023-09-28,347,341,338,337,0,0
STAR Benchmarks,4,Language Arts,2023-09-18,2023-09-22,325,322,324,348,0,0
STAR Benchmarks,5,Language Arts,2023-09-27,2023-09-29,347,348,346,342,0,0
STAR Benchmarks,6,Language Arts,2023-09-20,2023-09-22,310,316,310,360,0,0
STAR Benchmarks,7,Language Arts,2023-09-22,2023-09-24,339,321,122,304,0,0
STAR Benchmarks,8,Language Arts,2023-09-19,2023-09-22,368,251,340,330,0,0

Test,School,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
STAR Benchmarks,Arcola Intermediate School,7,Language Arts,2023-09-22,2023-09-24,331,317,114,299,0,0
STAR Benchmarks,Arcola Intermediate School,8,Language Arts,2023-09-19,2023-09-22,363,249,337,324,0,0
STAR Benchmarks,Arrowhead Elementary School,2,Language Arts,2023-05-19,2023-05-21,84,88,85,0,0,0
STAR Benchmarks,Arrowhead Elementary School,3,Language Arts,2023-09-15,2023-09-22,105,103,103,85,0,0
STAR Benchmarks,Arrowhead Elementary School,4,Language Arts,2023-09-15,2023-09-22,72,70,71,104,0,0
STAR Benchmarks,Eagleville Elementary School,2,Language Arts,2023-05-25,2023-05-27,87,88,87,0,0,0
STAR Benchmarks,Eagleville Elementary School,3,Language Arts,2023-09-20,2023-09-22,71,69,69,84,0,0
STAR Benchmarks,Eagleville Elementary School,4,Language Arts,2023-09-18,2023-09-22,77,75,75,73,0,0
STAR Benchmarks,Skyview Upper Elementary School,4,Language Arts,2023-05-09,2023-05-11,1,1,1,0,0,0
STAR Benchmarks,Skyview Upper Elementary School,5,Language Arts,2023-09-27,2023-09-29,347,348,346,342,0,0
STAR Benchmarks,Skyview Upper Elementary School,6,Language Arts,2023-09-20,2023-09-22,310,316,310,360,0,0
STAR Benchmarks,Skyview Upper Elementary School,7,Language Arts,2023-09-08,2023-09-22,8,4,8,5,0,0
STAR Benchmarks,Skyview Upper Elementary School,8,Language Arts,2023-09-14,2023-09-22,5,2,3,6,0,0
STAR Benchmarks,Woodland Elementary School,2,Language Arts,2023-05-31,2023-06-02,83,84,77,0,0,0
STAR Benchmarks,Woodland Elementary School,3,Language Arts,2023-09-26,2023-09-28,89,87,84,82,0,0
STAR Benchmarks,Woodland Elementary School,4,Language Arts,2023-09-08,2023-09-22,85,85,85,86,0,0
STAR Benchmarks,Worcester Elementary School,2,Language Arts,2023-05-24,2023-05-26,81,83,83,0,0,0
STAR Benchmarks,Worcester Elementary School,3,Language Arts,2023-09-20,2023-09-22,82,82,82,86,0,0
STAR Benchmarks,Worcester Elementary School,4,Language Arts,2023-09-15,2023-09-22,90,91,92,85,0,0

Test,Grade,Subject,20-21 Fall,20-21 Winter,20-21 Spring,21-22 Fall,21-22 Winter,21-22 Spring,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
STAR Benchmarks,2,Language Arts,0,0,0,0,0,0,335,343,332,0,0,0
STAR Benchmarks,3,Language Arts,0,0,0,0,0,0,347,341,338,337,0,0
STAR Benchmarks,4,Language Arts,0,0,0,0,0,0,325,322,324,348,0,0
STAR Benchmarks,5,Language Arts,0,0,0,0,0,0,347,348,346,342,0,0
STAR Benchmarks,6,Language Arts,0,0,0,0,0,0,310,316,310,360,0,0
STAR Benchmarks,7,Language Arts,0,0,0,0,0,0,339,321,122,304,0,0
STAR Benchmarks,8,Language Arts,0,0,0,0,0,0,368,251,340,330,0,0

