Test,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
STAR Benchmarks,K,Language Arts,2023-05-17,2023-08-08,0,8,9,0,0,0
STAR Benchmarks,K,Math,2023-05-17,2023-08-08,1,0,1,0,0,0
STAR Benchmarks,1,Language Arts,2023-09-27,2023-11-29,21,38,43,27,0,0
STAR Benchmarks,1,Math,2023-09-28,2023-11-29,44,46,46,46,0,0
STAR Benchmarks,2,Language Arts,2023-09-28,2023-11-29,45,46,46,48,0,0
STAR Benchmarks,2,Math,2023-09-28,2023-11-29,45,46,46,49,0,0
STAR Benchmarks,3,Language Arts,2023-10-05,2023-11-29,41,41,42,46,0,0
STAR Benchmarks,3,Math,2023-10-06,2023-11-29,41,41,42,47,0,0
STAR Benchmarks,4,Language Arts,2023-09-28,2023-11-29,38,38,38,46,0,0
STAR Benchmarks,4,Math,2023-10-05,2023-11-29,39,39,38,46,0,0
STAR Benchmarks,5,Language Arts,2023-09-21,2023-11-29,41,40,40,36,0,0
STAR Benchmarks,5,Math,2023-10-04,2023-11-29,40,40,40,36,0,0
STAR Benchmarks,6,Language Arts,2023-09-15,2023-11-29,40,41,41,39,0,0
STAR Benchmarks,6,Math,2023-09-28,2023-11-29,40,42,41,39,0,0
STAR Benchmarks,7,Language Arts,2023-09-20,2023-11-29,57,54,58,44,0,0
STAR Benchmarks,7,Math,2023-09-20,2023-11-29,58,57,58,44,0,0
STAR Benchmarks,8,Language Arts,2023-10-02,2023-11-29,36,42,40,59,0,0
STAR Benchmarks,8,Math,2023-09-26,2023-11-29,42,41,41,58,0,0
STAR Benchmarks,9,Language Arts,2022-09-30,2023-08-08,93,0,0,0,0,0
STAR Benchmarks,9,Math,2022-10-04,2023-08-08,60,0,0,0,0,0
STAR Benchmarks,11,Language Arts,2022-09-29,2023-08-08,1,0,0,0,0,0

Test,School,Grade,Subject,Latest Results,Latest Created Date,22-23 Fall,22-23 Winter,22-23 Spring,23-24 Fall,23-24 Winter,23-24 Spring
STAR Benchmarks,Booth Free School,K,Language Arts,2023-01-19,2023-08-08,0,1,0,0,0,0
STAR Benchmarks,Booth Free School,1,Language Arts,2023-09-27,2023-11-29,8,11,13,10,0,0
STAR Benchmarks,Booth Free School,1,Math,2023-09-27,2023-11-29,13,15,15,15,0,0
STAR Benchmarks,Booth Free School,2,Language Arts,2023-09-21,2023-11-29,12,13,13,16,0,0
STAR Benchmarks,Booth Free School,2,Math,2023-09-28,2023-11-29,12,13,13,16,0,0
STAR Benchmarks,Booth Free School,3,Language Arts,2023-10-05,2023-11-29,14,14,14,13,0,0
STAR Benchmarks,Booth Free School,3,Math,2023-10-06,2023-11-29,14,14,14,14,0,0
STAR Benchmarks,Booth Free School,4,Language Arts,2023-09-28,2023-11-29,11,11,10,15,0,0
STAR Benchmarks,Booth Free School,4,Math,2023-09-29,2023-11-29,11,11,10,15,0,0
STAR Benchmarks,Booth Free School,5,Language Arts,2023-09-21,2023-11-29,9,9,9,11,0,0
STAR Benchmarks,Booth Free School,5,Math,2023-10-04,2023-11-29,9,9,9,11,0,0
STAR Benchmarks,Burnham School,K,Language Arts,2023-05-17,2023-08-08,0,6,8,0,0,0
STAR Benchmarks,Burnham School,K,Math,2023-05-17,2023-08-08,1,0,1,0,0,0
STAR Benchmarks,Burnham School,1,Language Arts,2023-09-25,2023-11-29,10,10,10,15,0,0
STAR Benchmarks,Burnham School,1,Math,2023-09-28,2023-11-29,10,10,10,17,0,0
STAR Benchmarks,Burnham School,2,Language Arts,2023-09-28,2023-11-29,10,10,10,11,0,0
STAR Benchmarks,Burnham School,2,Math,2023-09-26,2023-11-29,10,10,10,11,0,0
STAR Benchmarks,Burnham School,3,Language Arts,2023-09-20,2023-11-29,8,8,8,11,0,0
STAR Benchmarks,Burnham School,3,Math,2023-09-28,2023-11-29,8,8,8,11,0,0
STAR Benchmarks,Burnham School,4,Language Arts,2023-09-19,2023-11-29,12,12,12,11,0,0
STAR Benchmarks,Burnham School,4,Math,2023-10-05,2023-11-29,12,12,12,11,0,0
